ID #,Subj,#,Sec,Title,Dates,Days,Time,Size:,Enrolled,Crds,Status,Instructor,Delivery Method,Book Cost,Loc,LASC/WI,18online,Tuition -resident,Tuition unit,Tuition -nonresident,Course level,Approximate Course Fees,timestamp,year_term
392,ART,390,1,Topics in Art: Scotland Tour/Photography,05/27-06/27,n/a,Arranged,10,3,2.0,Open,"Clark,Donald",,$0.00,Off Site Location SITE,,false,$444.86,course,$889.72,Undergraduate,$135.68,1513104841.344932,20151
478,ART,400F,1,Individualized Studies in Photography,05/21-08/05,n/a,Arranged,1,1,Vari.,Full,"Clark,Donald",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$67.84,1513104857.646023,20151
426,ART,469,1,Internship,05/21-08/05,n/a,Arranged,5,1,Vari.,Open,"Clark,Donald",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104847.491173,20151
456,ART,469,2,Internship,05/21-08/05,n/a,Arranged,5,2,Vari.,Open,"Sheets,Allen",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104852.913789,20151
393,ART,490,1,Topics in Art: Scotland Tour/Photography,05/27-06/27,n/a,Arranged,10,10,4.0,Full,"Clark,Donald Shynkaruk,Wil",,$0.00,Off Site Location SITE,,false,$889.72,course,"$1,779.44",Undergraduate,$271.36,1513104841.567017,20151
452,ART,497,1,Topics in Art I,06/12-08/01,n/a,Arranged,1,1,Vari.,Full,"Park,Jim",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104852.044836,20151
395,ART,499,1,Topical Workshop: Art Therapy,07/07-07/09,M T W,9:00am-1:00pm,15,14,Vari.,Open,"Helenske,Kayla",,$0.00,King Hall 0305,,false,$222.43,credit,$444.86,Undergraduate,$67.84,1513104841.988275,20151
449,AST,104,2,Stellar Astronomy,05/21-06/1005/21-06/10,T Th n/a,1:00pm-2:30pm Arranged,24,0,3.0,Cancelled,"Schultz,Sara Schultz,Sara",Blended/Hybrid,$0.00,Hagen Hall 0316ON LINE,"3,3L",false,$667.29,course,"$1,334.58",Undergraduate,$196.29,1513104851.431066,20151
289,AT,210,1,Medical Terminology,05/21-06/24,n/a,Arranged,25,23,1.0,Open,"Hammerschmidt,Dawn",Completely Online-Asynchronous,$0.00,ON LINE,,false,$222.43,course,$444.86,Undergraduate,$55.43,1513104821.436281,20151
290,AT,210,2,Medical Terminology,05/21-06/24,n/a,Arranged,25,0,1.0,Cancelled,n/a,Completely Online-Asynchronous,$0.00,ON LINE,,false,$222.43,course,$444.86,Undergraduate,$55.43,1513104821.641171,20151
5,BCBT,100,1,The Science of Cooking,05/21-06/10,M T W Th F,10:45am-2:00pm,30,0,3.0,Cancelled,n/a,,$0.00,,"3,3L",false,$667.29,course,"$1,334.58",Undergraduate,$143.52,1513104766.760532,20151
60,BIOL,111,1,Cell Biology,05/21-06/24,M T W Th,8:20am-10:30am,24,0,4.0,Cancelled,n/a,,$0.00,,,false,$889.72,course,"$1,779.44",Undergraduate,$231.36,1513104777.279483,20151
93,BIOL,111L,1,Cell Biology Lab,05/21-06/24,M W,10:45am-1:15pm,24,0,0.0,Cancelled,n/a,,$0.00,,,false,$0.00,course,$0.00,Undergraduate,$0.00,1513104783.852905,20151
61,BIOL,115,1,Organismal Biology,07/02-08/05,M T W Th,8:20am-10:30am,24,0,4.0,Cancelled,n/a,,$0.00,,,false,$889.72,course,"$1,779.44",Undergraduate,$231.36,1513104777.481839,20151
63,BIOL,115L,1,Organismal Biology Laboratory,07/02-08/05,M W,10:45am-1:15pm,24,0,0.0,Cancelled,n/a,,$0.00,,,false,$0.00,course,$0.00,Undergraduate,$0.00,1513104777.886885,20151
49,BIOL,300,1,Biology of Women,05/21-06/1705/21-06/17,Th n/a,8:20am-10:30am Arranged,16,12,3.0,Open,"Brisch,Ellen Brisch,Ellen",Blended/Hybrid,$0.00,Langseth Hall 0109ON LINE,"3,3L",false,$667.29,course,"$1,334.58",Undergraduate,$196.29,1513104775.324072,20151
99,BIOL,323,1,Human Anatomy,05/21-06/17,M T W Th F,10:45am-12:05pm,24,22,4.0,Open,"Wisenden,Patricia",,$0.00,Langseth Hall 0118,,false,$889.72,course,"$1,779.44",Undergraduate,$231.36,1513104784.871478,20151
89,BIOL,323L,1,Human Anatomy Lab,05/21-06/17,M T W Th F,7:35am-10:30am,24,22,0.0,Open,"Wisenden,Patricia",,$0.00,Langseth Hall 0110,,false,$0.00,course,$0.00,Undergraduate,$0.00,1513104783.01134,20151
58,BIOL,328,1,Lake Superior Ecology,07/28-08/0108/04-08/13,M T W Th F n/a,9:00am-11:00am Arranged,18,0,3.0,Cancelled,n/a n/a,,$0.00,Off Site Location SITE,10,false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104776.856624,20151
50,BIOL,346,1,An Ecological Perspective,05/21-06/17,n/a,Arranged,24,0,3.0,Cancelled,n/a,Mostly Online,$0.00,ON LINE,10,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104775.531818,20151
102,BIOL,346,2,An Ecological Perspective,07/02-08/05,n/a,Arranged,24,0,3.0,Cancelled,n/a,Mostly Online,$0.00,ON LINE,10,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104785.491412,20151
65,BIOL,349,1,Human Physiology,07/02-08/05,M T W Th,8:20am-10:30am,24,13,4.0,Open,"Wallert,Mark",,$0.00,Langseth Hall 0118,,false,$889.72,course,"$1,779.44",Undergraduate,$231.36,1513104778.11462,20151
91,BIOL,349L,1,Human Physiology Lab,07/02-08/05,M W,10:45am-1:15pm,24,13,0.0,Open,"Wallert,Mark",,$0.00,Langseth Hall 0110,,false,$0.00,course,$0.00,Undergraduate,$0.00,1513104783.445017,20151
51,BIOL,370,1,Exploring Biology,05/21-06/10,M T W Th F,7:30am-10:30am,24,11,3.0,Open,"Alemadi,Shireen",,$0.00,Hagen Hall 0404,10,false,$667.29,course,"$1,334.58",Undergraduate,$143.52,1513104775.758067,20151
73,BIOL,370,2,Exploring Biology,06/12-07/01,M T W Th F,7:30am-10:30am,24,16,3.0,Open,"Alemadi,Shireen",,$0.00,Hagen Hall 0404,10,false,$667.29,course,"$1,334.58",Undergraduate,$143.52,1513104779.755118,20151
52,BIOL,406,1,DNA as Destiny: Genetics and Society,05/21-06/24,n/a,Arranged,16,8,3.0,Open,"Anderson,Sara",Completely Online-Asynchronous,$0.00,ON LINE,"9,WI",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104775.957461,20151
422,BIOL,430,1,Immunobiology,05/21-06/24,n/a,Arranged,16,8,3.0,Open,"Brisch,Ellen",Completely Online-Asynchronous,$0.00,ON LINE,WI,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104846.701508,20151
423,BIOL,430,2,Immunobiology,05/21-06/24,n/a,Arranged,8,2,3.0,Open,"Brisch,Ellen",Completely Online-Asynchronous,$0.00,ON LINE,WI,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104846.897711,20151
53,BIOL,460,1,Medical Laboratory Clinical Education,05/21-08/05,n/a,Arranged,1,1,Vari.,Full,n/a,,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104776.1731,20151
54,BIOL,469,1,Internship,05/21-08/05,n/a,Arranged,1,2,Vari.,Full,"Brisch,Ellen",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104776.396221,20151
443,BIOL,470,1,Undergraduate Laboratory Teaching,05/21-08/05,n/a,Arranged,5,1,1.0,Open,"Brisch,Ellen",,$0.00,Arranged ARR,,false,$222.43,course,$444.86,Undergraduate,$37.84,1513104850.394713,20151
55,BIOL,497,1,Undergraduate Research in Biology,05/21-08/05,n/a,Arranged,1,1,Vari.,Full,"Stockrahm,Donna",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$57.84,1513104776.613645,20151
477,BIOL,497,2,Undergraduate Research in Biology,05/21-08/05,n/a,Arranged,5,1,Vari.,Open,"McEwen,Daniel",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$57.84,1513104857.435197,20151
411,BUS,345,1,China Business Trip,05/19-06/10,n/a,Arranged,15,0,3.0,Cancelled,n/a,,$0.00,Off Site Location SITE,,false,$667.29,course,"$1,334.58",Undergraduate,$131.52,1513104844.433326,20151
270,BUS,498,1,Business Policy and Strategy,05/21-06/24,M T W Th F,10:45am-12:30pm,25,15,3.0,Open,"Wu,Jinpei",Blended/Hybrid,$0.00,Center for Business 0210,,false,$667.29,course,"$1,334.58",Undergraduate,$184.29,1513104817.791481,20151
1,CHEM,150,1,General Chemistry I,05/21-06/24,M T W Th,8:20am-10:30am,24,8,3.0,Open,"Antharam,Vijay",,$0.00,Langseth Hall 0102,"3,3L",false,$667.29,course,"$1,334.58",Undergraduate,$158.52,1513104765.889082,20151
2,CHEM,150L,1,General Chemistry Laboratory I,05/21-06/24,T Th,11:00am-3:00pm,24,10,1.0,Open,"Lahti,Richard",,$0.00,Langseth Hall 0302,"3,3L",false,$222.43,course,$444.86,Undergraduate,$52.84,1513104766.105154,20151
3,CHEM,210,1,General Chemistry II,07/02-08/05,M T W Th,8:20am-10:30am,24,15,3.0,Open,"Bodwin,Jeffrey",,$0.00,Langseth Hall 0102,"3,3L",false,$667.29,course,"$1,334.58",Undergraduate,$158.52,1513104766.313561,20151
4,CHEM,210L,1,General Chemistry II Lab,07/02-08/05,T Th,11:00am-3:00pm,24,15,1.0,Open,"Marasinghe,P Asoka",,$0.00,Langseth Hall 0302,"3,3L",false,$222.43,course,$444.86,Undergraduate,$52.84,1513104766.530507,20151
471,CHEM,397,1,Undergraduate Research,05/21-08/05,n/a,Arranged,5,2,Vari.,Open,"Bodwin,Jeffrey",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$52.84,1513104856.181418,20151
348,CJ,111,1,American Criminal Justice,05/21-06/10,n/a,Arranged,25,13,3.0,Open,"Powell,Joel",Completely Online-Asynchronous,$0.00,ON LINE,2,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104832.921299,20151
358,CJ,200,1,Introduction to Criminal Justice,07/02-07/29,n/a,Arranged,25,8,4.0,Open,"Richardson Jens,Katie",Completely Online-Asynchronous,$0.00,ON LINE,,false,$889.72,course,"$1,779.44",Undergraduate,$221.72,1513104834.696135,20151
353,CJ,300,1,Criminology,05/21-06/10,n/a,Arranged,15,12,3.0,Open,"Hendrix-Sloan,Geraldine",Completely Online-Asynchronous,$0.00,ON LINE,,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104833.737209,20151
350,CJ,306,1,Gangs,05/21-06/10,M T W Th F,2:15pm-5:15pm,25,0,3.0,Cancelled,n/a,,$0.00,,5,false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104833.347543,20151
356,CJ,380,1,Global Criminal Justice,07/15-08/01,n/a,Arranged,25,17,3.0,Open,"Powell,Joel",Completely Online-Asynchronous,$0.00,ON LINE,8,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104834.317806,20151
355,CJ,385,1,"Crime, Justice, and Media",06/12-07/01,n/a,Arranged,25,21,3.0,Open,"Powell,Joel",Completely Online-Asynchronous,$0.00,ON LINE,9,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104834.117524,20151
362,CJ,400,1,Courts Through Film,05/21-06/24,n/a,Arranged,20,16,4.0,Open,"Stead,Denis",Completely Online-Asynchronous,$0.00,ON LINE,,false,$889.72,course,"$1,779.44",Undergraduate,$221.72,1513104835.533552,20151
367,CJ,469,1,Internship,05/21-08/05,n/a,Arranged,25,3,Vari.,Open,"Hendrix-Sloan,Geraldine",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104836.588594,20151
366,CJ,497,1,Readings in Criminal Justice,05/21-08/05,n/a,Arranged,25,1,Vari.,Open,n/a,,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104836.376052,20151
147,CM,327,1,Sustainability in the Built Environment,05/21-07/11,n/a,Arranged,20,21,3.0,Full,"Young,Rebecca",Completely Online-Asynchronous,$0.00,ON LINE,10,false,$667.29,course,"$1,334.58",Undergraduate,$184.29,1513104794.306903,20151
146,CM,469,1,Internship,05/21-08/05,n/a,Arranged,15,0,Vari.,Cancelled,"Andersen,Norma",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$43.84,1513104794.085852,20151
188,CMST,100,1,Speech Communication,05/21-06/24,n/a,Arranged,18,17,3.0,Open,"Gregg,Virginia",Completely Online-Asynchronous,$0.00,ON LINE,"11,1A",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104802.406519,20151
189,CMST,100,2,Speech Communication,05/21-06/24,n/a,Arranged,18,12,3.0,Open,"Gregg,Virginia",Completely Online-Asynchronous,$0.00,ON LINE,"11,1A",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104802.593977,20151
190,CMST,100,3,Speech Communication,05/21-06/10,M T W Th F,7:30am-10:30am,28,13,3.0,Open,"Anderson,Jason",,$0.00,MacLean Hall 0172,"11,1A",false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104802.80593,20151
191,CMST,100,4,Speech Communication,05/21-06/10,M T W Th F,10:45am-2:00pm,28,16,3.0,Open,"Anderson,Jason",,$0.00,MacLean Hall 0172,"11,1A",false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104803.008008,20151
410,CMST,100,5,Speech Communication,07/02-07/29,M T W Th F,8:20am-10:30am,28,16,3.0,Open,"Anderson,Jason",,$0.00,MacLean Hall 0172,"11,1A",false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104844.235744,20151
193,CMST,300,1,Intercultural Communication,05/21-06/24,n/a,Arranged,22,0,3.0,Cancelled,n/a,Completely Online-Asynchronous,$0.00,ON LINE,7,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104803.402808,20151
195,CMST,300,2,Intercultural Communication,07/02-08/05,n/a,Arranged,22,12,3.0,Open,"Gardner,Rebecca",Completely Online-Asynchronous,$0.00,ON LINE,7,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104803.805214,20151
192,CMST,301,1,Business and Professional Communication,05/21-06/24,n/a,Arranged,22,20,3.0,Open,"Gardner,Rebecca",Completely Online-Asynchronous,$0.00,ON LINE,WI,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104803.208492,20151
194,CMST,301,2,Business and Professional Communication,07/02-08/05,n/a,Arranged,22,20,3.0,Open,"Gardner,Rebecca",Completely Online-Asynchronous,$0.00,ON LINE,WI,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104803.600633,20151
454,CMST,301,3,Business and Professional Communication,05/21-06/24,n/a,Arranged,22,11,3.0,Open,"Gardner,Rebecca",Completely Online - Synchronous,$0.00,ON LINE,WI,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104852.465972,20151
196,CMST,310,1,Rhetorical Theory and Criticism,05/21-07/01,n/a,Arranged,21,22,3.0,Full,"Anderson,Jason",Completely Online-Asynchronous,$0.00,ON LINE,"6,WI",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104804.005628,20151
197,CMST,310,2,Rhetorical Theory and Criticism,06/12-08/01,n/a,Arranged,22,0,3.0,Cancelled,n/a,Completely Online-Asynchronous,$0.00,ON LINE,"6,WI",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104804.203165,20151
438,CMST,469,1,Internship,05/21-08/05,n/a,Arranged,10,4,Vari.,Open,"Hest,Theresa",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104849.362228,20151
453,CMST,469,2,Internship,05/21-08/05,n/a,Arranged,1,1,Vari.,Full,"Anderson,Jason",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104852.259221,20151
186,CNSA,520,1,Basic Counseling Skills,05/21-06/17,M T W,10:00am-12:00pm,15,6,3.0,Open,"Karch,Lisa",Blended/Hybrid,$0.00,Lommen Hall 0089,,false,"$1,200.00",course,"$2,400.00",Graduate,$278.52,1513104802.01479,20151
237,CNSA,590,1,Topics CNSA: Classroom Management for School Counselor,05/27-06/05,T Th,4:00pm-7:30pm,14,0,1.0,Cancelled,n/a,,$0.00,,,false,$400.00,course,$800.00,Graduate,$37.84,1513104811.230338,20151
468,CNSA,599,1,It's All In Your Head: Trauma - Informed Advocacy,06/12-07/17,Th,Arranged,15,0,2.0,Cancelled,"Hagen,Erin",,$0.00,Lommen Hall 0091,,false,$0.00,course,$0.00,Graduate,$305.68,1513104855.557511,20151
469,CNSA,599,2,Classroom Management for School Counselors,06/09-07/18,M,Arranged,15,16,1.0,Full,"Sokolofsky,Laura",,$0.00,,,false,$0.00,course,$0.00,Graduate,$115.43,1513104855.760249,20151
470,CNSA,599,3,Therapeutic Activities: Creative Engagement with Children,06/17-06/24,T,Arranged,15,0,1.0,Cancelled,"Kjos,Sarah",,$0.00,Lommen Hall 0091,,false,$0.00,course,$0.00,Graduate,$152.84,1513104855.961423,20151
203,CNSA,610,1,Foundations of Counseling,05/21-06/24,M,4:30pm-6:30pm,24,20,3.0,Open,"Paul,David",Blended/Hybrid,$0.00,Lommen Hall 0091,,false,"$1,200.00",course,"$2,400.00",Graduate,$278.52,1513104805.241072,20151
187,CNSA,611,1,Theories of Individual and Family Counseling,05/21-07/11,M,6:30pm-8:30pm,24,13,3.0,Open,"Karch,Lisa",Blended/Hybrid,$0.00,Lommen Hall 0089,,false,"$1,200.00",course,"$2,400.00",Graduate,$278.52,1513104802.211633,20151
247,CNSA,620,1,Counseling Skills I,05/21-07/11,Th,6:00pm-8:30pm,14,15,3.0,Full,"Paul,David",,$0.00,Lommen Hall 0089,,false,"$1,200.00",course,"$2,400.00",Graduate,$113.52,1513104813.210226,20151
235,CNSA,620,2,Counseling Skills I,05/21-07/11,T,6:00pm-8:30pm,14,0,3.0,Cancelled,n/a,,$0.00,,,false,"$1,200.00",course,"$2,400.00",Graduate,$113.52,1513104811.022805,20151
204,CNSA,640,1,Ethical and Legal Issues in Counseling,07/02-08/05,M,4:30pm-6:30pm,35,27,3.0,Open,"Paul,David",Blended/Hybrid,$0.00,Lommen Hall 0110,,false,"$1,200.00",course,"$2,400.00",Graduate,$278.52,1513104805.43721,20151
199,CNSA,650,1,Organization and Administration of School Counseling Programs,05/21-07/11,W,6:30pm-8:30pm,24,8,3.0,Open,"Karch,Lisa",Blended/Hybrid,$0.00,Lommen Hall 0089,,false,"$1,200.00",course,"$2,400.00",Graduate,$278.52,1513104804.613538,20151
200,CNSA,691A,1,Practicum in School Counseling,05/21-08/05,n/a,Arranged,10,2,Vari.,Open,"Karch,Lisa",,$0.00,Arranged ARR,,false,$400.00,credit,$800.00,Graduate,$62.84,1513104804.823474,20151
232,CNSA,691C,1,Practicum in College Counseling,05/21-08/05,W,6:00pm-8:00pm,10,6,Vari.,Open,"Paul,David",,$0.00,Lommen Hall 0091,,false,$400.00,credit,$800.00,Graduate,$62.84,1513104810.590836,20151
201,CNSA,692A,1,Internship in School Counseling,05/21-08/05,n/a,Arranged,10,3,Vari.,Open,"Karch,Lisa",,$0.00,Arranged ARR,,false,$400.00,credit,$800.00,Graduate,$87.84,1513104805.032001,20151
234,CNSA,692C,1,Internship in College Counseling,05/21-08/05,W,6:00pm-8:00pm,10,5,Vari.,Open,"Paul,David",,$0.00,Lommen Hall 0091,,false,$400.00,credit,$800.00,Graduate,$87.84,1513104810.80856,20151
459,CNSA,696,1,Project/Action Research (Plan B),05/21-08/05,n/a,Arranged,10,2,Vari.,Open,"Karch,Lisa",,$0.00,Arranged ARR,,false,$400.00,credit,$800.00,Graduate,$37.84,1513104854.549799,20151
228,COMH,403,1,Health Informatics,05/21-06/24,n/a,Arranged,25,14,3.0,Open,"Bezbaruah,Nandita",Completely Online-Asynchronous,$0.00,ON LINE,,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104810.181554,20151
229,COMH,418,1,Global Health Issues,05/21-06/24,n/a,Arranged,25,25,3.0,Full,"Bezbaruah,Nandita",Completely Online-Asynchronous,$0.00,ON LINE,8,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104810.381015,20151
240,COMH,469,1,Internship,05/21-08/05,n/a,Arranged,15,3,Vari.,Open,"Bezbaruah,Nandita",Completely Online-Asynchronous,$0.00,ON LINE,,false,$222.43,credit,$444.86,Undergraduate,$55.43,1513104811.831975,20151
44,CSIS,104,1,Spreadsheet and Database Applications,05/21-06/24,n/a,Arranged,50,13,3.0,Open,"Brekke,Daniel",Completely Online-Asynchronous,$0.00,ON LINE,,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104774.50583,20151
45,CSIS,104A,1,Advanced Spreadsheet Topics,05/21-06/24,n/a,Arranged,30,3,1.0,Open,"Brekke,Daniel",Completely Online-Asynchronous,$0.00,ON LINE,,false,$222.43,course,$444.86,Undergraduate,$55.43,1513104774.69439,20151
46,CSIS,316,1,Ethics in the Information Age,05/21-06/24,n/a,Arranged,25,0,3.0,Cancelled,n/a,Completely Online - Synchronous,$0.00,ON LINE,9,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104774.886247,20151
47,CSIS,469,1,Internship,05/21-08/05,n/a,Arranged,10,5,Vari.,Open,"Brekke,Daniel",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$37.84,1513104775.1272,20151
495,CST,120,1,Brain Development Conference: Empowering Children,08/03-08/04,n/a,Arranged,20,10,,Open,"Cole,Layna",,$0.00,,,false,$0.00,course,$0.00,Undergraduate,$0.00,1513104859.294861,20151
338,ECON,100,1,The American Economy,05/21-06/17,n/a,Arranged,19,17,3.0,Open,"Flores-Ibarra,Oscar",Completely Online-Asynchronous,$0.00,ON LINE,2,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104830.92886,20151
339,ECON,100,2,The American Economy,05/21-06/17,n/a,Arranged,19,0,3.0,Cancelled,n/a,Completely Online-Asynchronous,$0.00,ON LINE,2,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104831.131748,20151
342,ECON,202,1,Principles of Economics I: Micro,05/21-06/17,n/a,Arranged,19,16,3.0,Open,"Bolduc,Steven",Completely Online-Asynchronous,$0.00,ON LINE,5,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104831.730877,20151
343,ECON,202,2,Principles of Economics I: Micro,05/21-06/17,n/a,Arranged,19,16,3.0,Open,"Bolduc,Steven",Completely Online-Asynchronous,$0.00,ON LINE,5,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104831.922047,20151
